#options: 1280x720 fps=25/1 timebase=1/25 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=12 lookahead_threads=4 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=1509 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:50 out:50 type:B dur:2 cpbdur:2 q:30.27 aq:25.08 tex:50464 mv:17997 misc:3067 imb:281 pmb:1349 smb:1970 d:- ref:0 ;
in:49 out:51 type:b dur:2 cpbdur:2 q:30.29 aq:27.48 tex:28150 mv:11620 misc:2662 imb:88 pmb:965 smb:2547 d:- ref:0 ;
in:51 out:52 type:b dur:2 cpbdur:2 q:30.25 aq:25.92 tex:25243 mv:12365 misc:3000 imb:133 pmb:1106 smb:2361 d:- ref:0 ;
in:55 out:53 type:P dur:2 cpbdur:2 q:30.19 aq:23.97 tex:124367 mv:22050 misc:2727 imb:1013 pmb:1626 smb:961 d:- ref:0 ;
in:53 out:54 type:B dur:2 cpbdur:2 q:30.22 aq:25.98 tex:33578 mv:13848 misc:2846 imb:103 pmb:1117 smb:2380 d:- ref:0 ;
in:54 out:55 type:b dur:2 cpbdur:2 q:30.20 aq:27.83 tex:27166 mv:10942 misc:2508 imb:65 pmb:944 smb:2591 d:- ref:0 ;
in:59 out:56 type:P dur:2 cpbdur:2 q:30.11 aq:22.59 tex:202985 mv:25997 misc:1554 imb:1741 pmb:1520 smb:339 d:- ref:0 ;
in:57 out:57 type:B dur:2 cpbdur:2 q:30.15 aq:25.16 tex:48763 mv:19237 misc:3072 imb:192 pmb:1409 smb:1999 d:- ref:0 ;
in:56 out:58 type:b dur:2 cpbdur:2 q:30.17 aq:27.31 tex:27799 mv:12506 misc:2495 imb:99 pmb:982 smb:2519 d:- ref:0 ;
in:58 out:59 type:b dur:2 cpbdur:2 q:30.13 aq:27.45 tex:28173 mv:11623 misc:2484 imb:81 pmb:957 smb:2562 d:- ref:0 ;
